text,sentence_index,n_gram_id,tag
שם דטעמא משום דכשטומאה בבית הוי הבית,12,639,-1
טעמא למה אם,10,360,-1
בעלמא טמא ואין צורך לצירוף,10,415,-1
כנוגע בקרקע עולם וזה הפך ממ''ש בשמו,13,800,-1
ידו או אפשר דנגיעה היינו צירף ידו,10,511,-1
או אפשר דנגיעה היינו צירף ידו שכתב,10,512,-1
"תינוקת (דף ס""ט) ושנינו בפ''ב",1,103,-1
משנה פי''ב דאהלות נגע,8,315,0
כתב הראב''ד נגע באסקופה מטפח ולמטה,13,795,-1
"(דף מ""ג) ואיתיה",7,284,-1
מכולם המת שהוא מטמא באהל מה שאין,3,222,-1
"מינים (דף מ""ג) ואיתיה",7,291,-1
המת מטמא במגע ובמשא,0,14,-1
דלישנא דנגיעה לאו דוקא,10,383,-1
לישנא אצל צירף ידו ואפשר שכאן חזר,13,809,-1
בריש פ''ג דאהלות (משנה,5,243,0
הטומאה לצאת: כתב,13,685,-1
כקבר סתום ומטמא כל סביביו הילכך הנוגע,12,646,-1
משום דכשטומאה בבית הוי הבית כקבר סתום,12,641,-1
המת או הבא,6,252,-1
לישנא אצל צירף ידו ואפשר שכאן,13,775,-1
רבינו וכאילו יהיב טעמא,10,399,-1
מטפח ולמעלה משום,13,681,-1
דטעמא משום דכשטומאה בבית הוי הבית,12,615,-1
צירף ידו או אפשר דנגיעה היינו צירף,10,510,-1
מגע ואהל מפורשים,0,10,-1
איני יודע למה,10,322,-1
בבית הוי הבית כקבר סתום,12,592,-1
שכתב רבינו וכאילו,10,356,-1
דנגיעה היינו צירף ידו שכתב רבינו,10,475,-1
אהל אינה בשאר טומאות אלא במת,2,169,-1
ושנינו בפ''ב דאהלות דאפי' עצם,1,106,-1
"פ''ק דכלים (מ""ד) חמור מכולם המת שהוא",3,218,-1
"מינים (דף מ""ג) ואיתיה בת''כ:",7,298,-1
אפשר דנגיעה היינו צירף ידו,10,434,-1
יהושע ונראה מדברי,12,529,-1
אחד הבא כלו לאהל המת,6,265,-1
"ס""ט) ושנינו בפ''ב דאהלות דאפי' עצם",1,124,-1
דנגיעה היינו צירף ידו,10,394,-1
צירף ידו או,10,348,-1
טומאות אלא במת בלבד,2,159,-1
כתב הראב''ד נגע באסקופה,13,724,-1
טומאת שבעה וטומאת מגע,0,19,-1
דכשטומאה בבית הוי הבית כקבר סתום ומטמא,12,642,-1
שכתב רבינו וכאילו יהיב טעמא,10,439,-1
ונראה מדברי רבינו שם דטעמא משום דכשטומאה,12,636,-1
ג''ז שם במשנה וכר' יהושע ונראה,12,606,0
לאו דוקא ואינו,10,343,-1
שבעה וטומאת מגע,0,8,-1
דאהלות נגע במשקוף טמא,8,317,-1
ממ''ש בשמו בסמוך,13,663,-1
ונראה מדברי רבינו שם,12,558,-1
אהל אינה בשאר טומאות,2,156,-1
הנוגע באסקופה מטפח ולמעלה טמא,12,601,-1
וכאילו יהיב טעמא,10,358,-1
כתב הראב''ד נגע באסקופה מטפח,13,760,-1
במשנה וכר' יהושע ונראה מדברי רבינו,12,608,0
אא''כ צירף ידו או אפשר,10,430,-1
חזר בו ור''ש כתב רבי יהושע מטמא,13,815,-1
משנה טומאת אהל אינה בשאר,2,161,0
האדם או הכלי וכו',4,233,-1
משום דכשטומאה בבית,12,535,-1
צורך לצירוף יד,10,335,-1
בריש פ''ג דאהלות (משנה א'):,5,245,0
מדברי רבינו שם דטעמא משום דכשטומאה,12,612,-1
"דכלים (מ""ד) חמור מכולם",3,189,-1
שיצרף ידו שמלשון,10,326,-1
טומאת אהל אינה,2,147,-1
למה הצריך שיצרף ידו שמלשון המשנה,10,447,0
בקרקע עולם וזה,13,659,-1
ממ''ש בשמו בסמוך לחד לישנא אצל,13,771,-1
ולמעלה טמא כנוגע בכותל,12,577,-1
טמא ואין צורך לצירוף,10,375,-1
תוספתא זו מפני,15,837,-1
מטמא באסקופה מטפח,13,679,-1
תוספתא זו מפני שנותנת טעם למה,15,867,-1
"במשנה ובפרק תינוקת (דף ס""ט)",1,101,1
"ג' מינים (דף מ""ג) ואיתיה",7,297,-1
כקבר סתום ומטמא,12,540,-1
אם נגע טמא וצ''ע,10,404,-1
יודע למה הצריך,10,323,-1
ומטמא כל סביביו הילכך הנוגע באסקופה,12,623,-1
ואפשר דמשמע לרבינו דלישנא דנגיעה,10,421,-1
ולמטה טהור כנוגע,13,656,-1
טמא אא''כ צירף,10,346,-1
"ס""ט) ושנינו בפ''ב דאהלות דאפי' עצם כשעורה",1,142,-1
ובין שהאהיל האדם או,4,231,-1
הבא כלו לאהל המת או הבא מקצתו,6,279,-1
בו ור''ש כתב רבי יהושע מטמא באסקופה,13,816,-1
עולם וזה הפך ממ''ש,13,697,-1
"במשנה ובפרק תינוקת (דף ס""ט) ושנינו",1,120,0
ומ''ש ובין שהאהיל האדם או הכלי וכו',4,239,-1
אצל צירף ידו ואפשר שכאן,13,741,-1
צירף ידו שכתב רבינו וכאילו יהיב טעמא,10,516,-1
כמ''ש רבינו וטומאת,1,50,-1
סביביו הילכך הנוגע באסקופה,12,572,-1
פי''ב דאהלות נגע,8,312,-1
אלא במת בלבד,2,152,-1
"משא בפרק כ''ג ונזיר (דף נ""ו",1,113,-1
מטמא באסקופה מטפח ולמעלה משום דדרך,13,787,-1
בעלמא טמא ואין צורך,10,374,-1
ולמעלה משום דדרך הטומאה לצאת: כתב,13,790,-1
במשנה ובפרק תינוקת,1,60,0
יהושע מטמא באסקופה מטפח ולמעלה משום דדרך,13,820,-1
"(מ""ד) חמור מכולם המת שהוא מטמא",3,211,-1
מטפח ולמעלה משום דדרך,13,718,-1
ידו או אפשר דנגיעה היינו,10,432,-1
"דכלים (מ""ד) חמור מכולם המת שהוא",3,210,-1
ור''ש כתב רבי יהושע,13,712,-1
כמ''ש רבינו וטומאת משא בפרק כ''ג,1,110,-1
מטפח ולמטה טהור מטפח,15,854,-1
משנה פי''ב דאהלות,8,311,0
בקרקע עולם וזה הפך ממ''ש,13,732,-1
"(דף מ""ג) ואיתיה בת''כ:",7,292,-1
הבא כלו לאהל המת,6,258,-1
הטומאה לצאת: כתב הראב''ד נגע,13,758,-1
הוי הבית כקבר סתום ומטמא,12,593,-1
"מ""ג) ואיתיה בת''כ: נגע במשקוף",7,300,-1
מפני שנותנת טעם למה מטפח ולמטה,15,869,-1
טעמא למה אם נגע,10,402,-1
הוי הבית כקבר סתום ומטמא כל,12,619,-1
דאפי' עצם כשעורה,1,68,-1
שנותנת טעם למה מטפח ולמטה,15,861,-1
מטמא באסקופה מטפח ולמעלה,13,716,-1
לצאת: כתב הראב''ד נגע,13,723,-1
המשנה משמע דבנגיעה בעלמא,10,371,0
"דכלים (מ""ד) חמור",3,177,-1
ואין צורך לצירוף,10,334,-1
טומאת שבעה וטומאת,0,7,-1
הפך ממ''ש בשמו בסמוך לחד,13,735,-1
ידו ואפשר שכאן,13,670,-1
וכר' יהושע ונראה מדברי רבינו,12,583,-1
כתב הראב''ד נגע,13,687,-1
רבי יהושע מטמא באסקופה,13,714,-1
ולמטה טהור כנוגע בקרקע עולם,13,729,-1
ג''ז שם במשנה,12,525,0
כ''ג ונזיר (דף,1,55,-1
לאו דוקא ואינו טמא,10,385,-1
באסקופה מטפח ולמעלה משום,13,717,-1
רבינו וכאילו יהיב טעמא למה אם,10,480,-1
ולמעלה משום דדרך הטומאה לצאת: כתב הראב''ד,13,824,-1
שם במשנה וכר' יהושע,12,554,0
מטמא באהל מה שאין,3,195,-1
בעלמא טמא ואין,10,332,-1
מטמא במגע ובמשא ובאהל טומאת שבעה,0,36,-1
"(מ""ד) חמור מכולם",3,178,-1
יודע למה הצריך שיצרף ידו שמלשון,10,446,-1
אהל אינה בשאר טומאות אלא במת בלבד,2,174,-1
אחד הבא כלו לאהל המת או,6,272,-1
שנותנת טעם למה מטפח,15,851,-1
לצירוף יד ואפשר דמשמע,10,378,-1
לאהל המת או,6,251,-1
דבנגיעה בעלמא טמא ואין,10,373,-1
ואפשר שכאן חזר בו,13,708,-1
"פ''ק דכלים (מ""ד)",3,176,1
ידו שמלשון המשנה משמע דבנגיעה בעלמא טמא,10,489,0
משמע דבנגיעה בעלמא טמא ואין,10,413,-1
שאין כולם מטמאין,3,186,-1
סתום ומטמא כל סביביו הילכך,12,596,-1
משמע דבנגיעה בעלמא טמא,10,372,-1
ובאהל טומאת שבעה,0,6,-1
הבית כקבר סתום,12,539,-1
"דכלים (מ""ד) חמור מכולם המת",3,200,-1
כתב תוספתא זו מפני שנותנת טעם,15,866,-1
שכאן חזר בו ור''ש כתב,13,745,-1
סביביו הילכך הנוגע באסקופה מטפח ולמעלה,12,625,-1
אחד הבא כלו,6,248,-1
עצם כשעורה מטמא במשא:,1,90,-1
ואפשר דמשמע לרבינו דלישנא דנגיעה לאו,10,461,-1
או אפשר דנגיעה היינו צירף,10,433,-1
יהושע מטמא באסקופה מטפח ולמעלה משום,13,786,-1
דלישנא דנגיעה לאו דוקא ואינו טמא אא''כ,10,503,-1
דמשמע לרבינו דלישנא,10,339,-1
המשנה משמע דבנגיעה בעלמא טמא ואין צורך,10,491,0
ומטמא כל סביביו הילכך הנוגע באסקופה מטפח,12,648,-1
ואיתיה בת''כ: נגע במשקוף,7,294,-1
ולמטה טהור כנוגע בקרקע עולם וזה הפך,13,798,-1
צירף ידו ואפשר שכאן חזר בו,13,777,-1
מטפח ולמעלה טמא כנוגע בכותל,12,603,-1
צורך לצירוף יד ואפשר דמשמע לרבינו דלישנא,10,497,-1
נגע במשקוף וכו',7,288,-1
ומטמא כל סביביו הילכך הנוגע,12,597,-1
כסף משנה המת מטמא במגע ובמשא,0,33,0
ידו או אפשר דנגיעה היינו צירף,10,472,-1
באסקופה מטפח ולמעלה משום דדרך הטומאה לצאת:,13,822,-1
יודע למה הצריך שיצרף,10,365,-1
מטמא במגע ובמשא ובאהל טומאת,0,26,-1
המת שהוא מטמא באהל מה שאין,3,214,-1
"תינוקת (דף ס""ט) ושנינו",1,83,-1
במשנה וכר' יהושע,12,527,0
אחד הבא כלו לאהל המת או הבא,6,278,-1
וכר' יהושע ונראה מדברי רבינו שם דטעמא,12,634,-1
הראב''ד נגע באסקופה מטפח ולמטה,13,761,-1
בתוספתא דאהלות וכו',14,832,-1
ידו ואפשר שכאן חזר בו ור''ש כתב,13,812,-1
"דכלים (מ""ד) חמור מכולם המת שהוא מטמא",3,219,-1
כלו לאהל המת או הבא מקצתו,6,274,-1
הוי הבית כקבר,12,538,-1
"בפ' ג' מינים (דף מ""ג) ואיתיה",7,302,-1
מטמא באסקופה מטפח ולמעלה משום דדרך הטומאה,13,821,-1
מצאתי בתוספתא דאהלות וכו',14,834,-1
ור''ש כתב רבי יהושע מטמא באסקופה,13,783,-1
מטפח ולמעלה משום דדרך הטומאה,13,754,-1
"בפרק כ''ג ונזיר (דף נ""ו ע""ב) במשנה",1,132,0
שבעה וטומאת מגע ואהל,0,20,-1
"תינוקת (דף ס""ט) ושנינו בפ''ב דאהלות דאפי'",1,140,-1
דנגיעה לאו דוקא ואינו,10,384,-1
ידו שמלשון המשנה משמע דבנגיעה בעלמא,10,450,0
כנוגע בכותל מכותלי הבית,12,579,-1
נגע באסקופה מטפח ולמטה וכו',13,762,-1
ידו שכתב רבינו וכאילו יהיב טעמא למה,10,517,-1
ואפשר שכאן חזר בו ור''ש,13,744,-1
ולמטה טהור כנוגע בקרקע,13,693,-1
משום דדרך הטומאה לצאת: כתב,13,756,-1
דמשמע לרבינו דלישנא דנגיעה,10,381,-1
אצל צירף ידו,13,668,-1
כסף משנה טומאת אהל אינה בשאר טומאות,2,171,0
לישנא אצל צירף ידו ואפשר,13,740,-1
מטפח ולמעלה טמא כנוגע בכותל מכותלי,12,629,-1
ממ''ש בשמו בסמוך לחד לישנא אצל צירף,13,805,-1
טעמא למה אם נגע טמא וצ''ע,10,483,-1
בפ' ג' מינים (דף,7,289,-1
מכולם המת שהוא מטמא באהל מה,3,213,-1
דוקא ואינו טמא אא''כ,10,386,-1
ידו או אפשר דנגיעה,10,391,-1
במשנה וכר' יהושע ונראה מדברי,12,582,0
"ע""ב) במשנה ובפרק תינוקת (דף ס""ט) ושנינו",1,137,0
משנה אחד הבא כלו לאהל,6,264,0
ובאהל טומאת שבעה וטומאת מגע ואהל,0,39,-1
רבינו וטומאת משא,1,51,-1
עולם וזה הפך,13,660,-1
הראב''ד נגע באסקופה מטפח,13,725,-1
הילכך הנוגע באסקופה,12,545,-1
למה הצריך שיצרף ידו שמלשון המשנה משמע,10,486,0
או הבא מקצתו,6,253,-1
ולמטה טהור מטפח,15,844,-1
טהור מטפח ולמעלה טמא:,15,856,-1
בסמוך לחד לישנא,13,665,-1
וטומאת מגע ואהל מפורשים בתורה,0,32,-1
כסף משנה אחד הבא,6,255,0
טעם למה מטפח ולמטה,15,852,-1
באסקופה מטפח ולמעלה משום דדרך הטומאה,13,788,-1
"מינים (דף מ""ג) ואיתיה בת''כ: נגע במשקוף",7,309,-1
וכאילו יהיב טעמא למה אם נגע,10,481,-1
אצל צירף ידו ואפשר שכאן חזר בו,13,810,-1
וכר' יהושע ונראה,12,528,-1
מדברי רבינו שם דטעמא משום דכשטומאה בבית,12,637,-1
שכתב רבינו וכאילו יהיב,10,398,-1
יהושע מטמא באסקופה,13,678,-1
דכשטומאה בבית הוי הבית,12,564,-1
סתום ומטמא כל סביביו,12,569,-1
שהוא מטמא באהל מה,3,194,-1
"(דף ס""ט) ושנינו בפ''ב דאהלות דאפי' עצם",1,141,-1
תוספתא זו מפני שנותנת,15,848,-1
כסף משנה טומאת אהל אינה בשאר,2,166,0
"תינוקת (דף ס""ט) ושנינו בפ''ב דאהלות",1,122,-1
וזה הפך ממ''ש בשמו בסמוך לחד,13,769,-1
טמא כנוגע בכותל מכותלי,12,578,-1
משום דדרך הטומאה לצאת:,13,720,-1
דטעמא משום דכשטומאה,12,534,-1
משמע דבנגיעה בעלמא,10,330,-1
דכשטומאה בבית הוי הבית כקבר סתום,12,617,-1
ומ''ש ובין שהאהיל האדם או,4,234,-1
כתב רבי יהושע מטמא באסקופה מטפח,13,784,-1
מטמא באהל מה שאין כולם מטמאין,3,216,-1
משנה המת מטמא במגע ובמשא,0,24,0
ג''ז שם במשנה וכר' יהושע ונראה מדברי,12,631,0
ידו שכתב רבינו וכאילו יהיב,10,438,-1
אהל אינה בשאר טומאות אלא,2,163,-1
יד ואפשר דמשמע,10,337,-1
שנותנת טעם למה,15,840,-1
אפשר דנגיעה היינו,10,351,-1
"משנה פ''ק דכלים (מ""ד) חמור מכולם",3,208,0
סתום ומטמא כל סביביו הילכך הנוגע,12,622,-1
משנה אחד הבא כלו,6,256,0
צירף ידו שכתב רבינו וכאילו,10,437,-1
ממ''ש בשמו בסמוך לחד לישנא,13,736,-1
כסף משנה טומאת אהל,2,153,0
נגע באסקופה וכו',11,523,-1
"נ""ו ע""ב) במשנה ובפרק תינוקת (דף",1,118,0
שהאהיל האדם או הכלי,4,232,-1
לרבינו דלישנא דנגיעה,10,340,-1
כקבר סתום ומטמא כל סביביו,12,595,-1
המת מטמא במגע ובמשא ובאהל טומאת,0,35,-1
שיצרף ידו שמלשון המשנה,10,368,0
ומ''ש ובין שהאהיל האדם,4,230,-1
באסקופה מטפח ולמעלה משום דדרך,13,753,-1
מגע ואהל מפורשים בתורה,0,22,-1
ואין צורך לצירוף יד ואפשר דמשמע,10,457,-1
מטפח ולמעלה טמא:,15,846,-1
"ונזיר (דף נ""ו ע""ב) במשנה",1,97,0
חמור מכולם המת שהוא מטמא,3,202,-1
היינו צירף ידו שכתב רבינו וכאילו,10,476,-1
שכאן חזר בו ור''ש כתב רבי,13,780,-1
רבי יהושע מטמא באסקופה מטפח,13,750,-1
באהל מה שאין כולם מטמאין,3,207,-1
המת שהוא מטמא באהל מה,3,204,-1
ואפשר שכאן חזר בו ור''ש כתב רבי,13,813,-1
סביביו הילכך הנוגע באסקופה מטפח ולמעלה טמא,12,650,-1
כלו לאהל המת או הבא מקצתו וכו',6,280,-1
למה מטפח ולמטה טהור מטפח,15,863,-1
בפ''ב דאהלות דאפי',1,66,-1
אינה בשאר טומאות אלא במת בלבד,2,170,-1
או אפשר דנגיעה היינו צירף ידו,10,473,-1
ג''ז שם במשנה וכר' יהושע,12,580,0
שכאן חזר בו,13,672,-1
מטמא במגע ובמשא,0,3,-1
כתב רבי יהושע מטמא,13,713,-1
"כ''ג ונזיר (דף נ""ו",1,76,-1
"נ""ו ע""ב) במשנה ובפרק",1,79,0
כמ''ש רבינו וטומאת משא בפרק,1,91,-1
"ס""ט) ושנינו בפ''ב",1,64,-1
שבעה וטומאת מגע ואהל מפורשים בתורה,0,41,-1
כנוגע בכותל מכותלי,12,551,-1
מטפח ולמעלה משום דדרך הטומאה לצאת:,13,789,-1
הילכך הנוגע באסקופה מטפח ולמעלה טמא כנוגע,12,651,-1
"ובפרק תינוקת (דף ס""ט) ושנינו",1,102,-1
משנה אחד הבא כלו לאהל המת או,6,277,0
למה אם נגע,10,361,-1
ואינו טמא אא''כ צירף ידו או,10,468,-1
חמור מכולם המת שהוא מטמא באהל,3,212,-1
המשנה משמע דבנגיעה,10,329,0
לרבינו דלישנא דנגיעה לאו דוקא ואינו,10,463,-1
בריש פ''ג דאהלות,5,240,-1
שהוא מטמא באהל מה שאין,3,205,-1
דאפי' עצם כשעורה מטמא,1,89,-1
הבא כלו לאהל המת או הבא,6,273,-1
וטומאת משא בפרק כ''ג,1,73,-1
לחד לישנא אצל,13,666,-1
לישנא אצל צירף,13,667,-1
"(מ""ד) חמור מכולם המת שהוא מטמא באהל",3,220,-1
וטומאת מגע ואהל מפורשים,0,21,-1
באסקופה מטפח ולמטה וכו',13,727,-1
ומ''ש נגע באסקופה,11,522,-1
"(דף נ""ו ע""ב) במשנה ובפרק תינוקת",1,117,0
מטפח ולמעלה טמא כנוגע בכותל מכותלי הבית,12,654,-1
כל סביביו הילכך הנוגע,12,571,-1
יהושע מטמא באסקופה מטפח,13,715,-1
דבנגיעה בעלמא טמא,10,331,-1
מה שאין כולם,3,185,-1
צירף ידו או אפשר דנגיעה היינו,10,471,-1
הבית כקבר סתום ומטמא כל סביביו הילכך,12,645,-1
בסמוך לחד לישנא אצל צירף,13,738,-1
דמשמע לרבינו דלישנא דנגיעה לאו דוקא ואינו,10,501,-1
כסף משנה אחד הבא כלו לאהל,6,270,0
דטעמא משום דכשטומאה בבית הוי הבית כקבר,12,640,-1
איני יודע למה הצריך שיצרף,10,405,-1
וזה הפך ממ''ש,13,661,-1
שהוא מטמא באהל,3,182,-1
דדרך הטומאה לצאת: כתב הראב''ד נגע,13,792,-1
שכתב רבינו וכאילו יהיב טעמא למה,10,479,-1
בשאר טומאות אלא במת בלבד,2,165,-1
טעם למה מטפח ולמטה טהור,15,862,-1
זו מפני שנותנת טעם,15,849,-1
ידו שמלשון המשנה משמע,10,369,0
הצריך שיצרף ידו שמלשון המשנה משמע,10,448,0
ונראה מדברי רבינו שם דטעמא משום,12,611,-1
רבינו וטומאת משא בפרק כ''ג ונזיר (דף,1,129,-1
אחד הבא כלו לאהל,6,257,-1
המת שהוא מטמא,3,181,-1
ור''ש כתב רבי יהושע מטמא באסקופה מטפח,13,817,-1
הפך ממ''ש בשמו,13,662,-1
ואפשר שכאן חזר,13,671,-1
משנה טומאת אהל,2,146,0
לצאת: כתב הראב''ד נגע באסקופה,13,759,-1
מטפח ולמעלה טמא כנוגע,12,576,-1
זו מפני שנותנת טעם למה,15,859,-1
שם במשנה וכר',12,526,0
ומטמא כל סביביו הילכך,12,570,-1
טעם למה מטפח ולמטה טהור מטפח,15,871,-1
למה אם נגע טמא וצ''ע,10,444,-1
חזר בו ור''ש כתב רבי,13,746,-1
"ג' מינים (דף מ""ג) ואיתיה בת''כ:",7,303,-1
"ס""ט) ושנינו בפ''ב דאהלות דאפי'",1,105,-1
צירף ידו ואפשר,13,669,-1
דבנגיעה בעלמא טמא ואין צורך לצירוף,10,454,-1
משא בפרק כ''ג,1,53,-1
אם נגע טמא,10,362,-1
בו ור''ש כתב,13,674,-1
יהושע מטמא באסקופה מטפח ולמעלה,13,751,-1
הצריך שיצרף ידו,10,325,-1
פי''ב דאהלות נגע במשקוף טמא,8,319,-1
חמור מכולם המת שהוא,3,191,-1
ושנינו בפ''ב דאהלות דאפי',1,86,-1
ידו שכתב רבינו וכאילו יהיב טעמא,10,478,-1
מדברי רבינו שם דטעמא משום,12,586,-1
לחד לישנא אצל צירף ידו ואפשר,13,774,-1
כתב תוספתא זו,15,836,-1
ונראה מדברי רבינו שם דטעמא,12,585,-1
דוקא ואינו טמא אא''כ צירף ידו,10,467,-1
היינו צירף ידו,10,353,-1
בקרקע עולם וזה הפך,13,696,-1
"מ""ג) ואיתיה בת''כ: נגע",7,293,-1
משנה פי''ב דאהלות נגע במשקוף טמא,8,320,0
זו מפני שנותנת טעם למה מטפח,15,868,-1
טמא אא''כ צירף ידו או אפשר,10,469,-1
מפני שנותנת טעם למה מטפח,15,860,-1
דלישנא דנגיעה לאו דוקא ואינו טמא,10,464,-1
הטומאה לצאת: כתב הראב''ד נגע באסקופה,13,793,-1
זו מפני שנותנת,15,838,-1
צירף ידו שכתב,10,354,-1
א''א מצאתי בתוספתא דאהלות וכו',14,835,-1
מטמא באסקופה מטפח ולמעלה משום,13,752,-1
ולמעלה טמא כנוגע,12,549,-1
"נ""ו ע""ב) במשנה",1,58,0
טומאת אהל אינה בשאר טומאות אלא,2,168,-1
בבית הוי הבית כקבר,12,565,-1
משמע דבנגיעה בעלמא טמא ואין צורך,10,453,-1
טומאת אהל אינה בשאר,2,155,-1
חמור מכולם המת שהוא מטמא באהל מה,3,221,-1
טמא ואין צורך לצירוף יד,10,416,-1
ובמשא ובאהל טומאת שבעה וטומאת,0,28,-1
בפ''ב דאהלות דאפי' עצם,1,87,-1
יד ואפשר דמשמע לרבינו דלישנא,10,420,-1
"(דף מ""ג) ואיתיה בת''כ: נגע במשקוף",7,305,-1
לרבינו דלישנא דנגיעה לאו דוקא ואינו טמא,10,502,-1
בפרק כ''ג ונזיר,1,54,-1
צורך לצירוף יד ואפשר,10,377,-1
משום דכשטומאה בבית הוי הבית,12,590,-1
אצל צירף ידו ואפשר שכאן חזר,13,776,-1
ידו ואפשר שכאן חזר בו,13,743,-1
כל סביביו הילכך הנוגע באסקופה מטפח,12,624,-1
במשנה וכר' יהושע ונראה מדברי רבינו שם,12,633,0
במשנה ובפרק תינוקת (דף,1,81,0
ושנינו בפ''ב דאהלות דאפי' עצם כשעורה,1,125,-1
כתב תוספתא זו מפני שנותנת טעם למה,15,874,-1
טומאת שבעה וטומאת מגע ואהל מפורשים,0,40,-1
וכאילו יהיב טעמא למה,10,400,-1
רבינו שם דטעמא משום דכשטומאה,12,587,-1
ולמעלה טמא כנוגע בכותל מכותלי,12,604,-1
הצריך שיצרף ידו שמלשון המשנה משמע דבנגיעה,10,487,0
"(מ""ד) חמור מכולם המת",3,190,-1
טמא אא''כ צירף ידו,10,388,-1
לצירוף יד ואפשר דמשמע לרבינו דלישנא,10,459,-1
בשאר טומאות אלא,2,150,-1
הראב''ד נגע באסקופה מטפח ולמטה וכו',13,796,-1
באסקופה מטפח ולמטה,13,690,-1
