text,sentence_index,n_gram_id,tag
כנוגע בקרקע עולם וזה הפך,13,731,-1
יד ואפשר דמשמע לרבינו דלישנא דנגיעה לאו,10,499,-1
ולמטה טהור מטפח ולמעלה,15,855,-1
טמא ואין צורך לצירוף יד ואפשר,10,456,-1
נגע במשקוף טמא,8,314,-1
הוי הבית כקבר סתום,12,566,-1
חזר בו ור''ש,13,673,-1
ממ''ש בשמו בסמוך לחד,13,700,-1
שמלשון המשנה משמע דבנגיעה,10,370,0
כנוגע בקרקע עולם וזה הפך ממ''ש,13,766,-1
באסקופה מטפח ולמעלה,12,547,-1
הפך ממ''ש בשמו בסמוך לחד לישנא,13,770,-1
בת''כ: נגע במשקוף,7,287,-1
איני יודע למה הצריך שיצרף ידו,10,445,-1
דוקא ואינו טמא אא''כ צירף ידו או,10,506,-1
טומאת אהל אינה בשאר טומאות,2,162,-1
כל סביביו הילכך הנוגע באסקופה מטפח ולמעלה,12,649,-1
תוספתא זו מפני שנותנת טעם למה מטפח,15,875,-1
באסקופה מטפח ולמעלה טמא,12,575,-1
"משא בפרק כ''ג ונזיר (דף נ""ו ע""ב)",1,131,1
רבי יהושע מטמא,13,677,-1
דלישנא דנגיעה לאו דוקא ואינו,10,424,-1
ובאהל טומאת שבעה וטומאת,0,18,-1
הבא כלו לאהל,6,249,-1
למה מטפח ולמטה טהור מטפח ולמעלה טמא:,15,880,-1
הבית כקבר סתום ומטמא כל,12,594,-1
שם במשנה וכר' יהושע ונראה,12,581,0
רבינו וכאילו יהיב טעמא למה אם נגע,10,519,-1
מכולם המת שהוא,3,180,-1
מצאתי בתוספתא דאהלות,14,831,-1
משום דכשטומאה בבית הוי הבית כקבר,12,616,-1
שמלשון המשנה משמע דבנגיעה בעלמא,10,411,0
בכותל מכותלי הבית,12,552,-1
בפ' ג' מינים,7,281,-1
"(דף ס""ט) ושנינו בפ''ב דאהלות",1,104,-1
מה שאין כולם מטמאין,3,197,-1
מטמא באהל מה שאין כולם,3,206,-1
עולם וזה הפך ממ''ש בשמו בסמוך לחד,13,802,-1
משא בפרק כ''ג ונזיר,1,74,-1
שכתב רבינו וכאילו יהיב טעמא למה אם,10,518,-1
אא''כ צירף ידו או אפשר דנגיעה,10,470,-1
בסמוך לחד לישנא אצל צירף ידו ואפשר,13,807,-1
משמע דבנגיעה בעלמא טמא ואין צורך לצירוף,10,492,-1
צורך לצירוף יד ואפשר דמשמע לרבינו,10,458,-1
באסקופה מטפח ולמעלה,13,680,-1
האדם או הכלי,4,228,-1
שם דטעמא משום דכשטומאה,12,561,-1
יהושע ונראה מדברי רבינו שם,12,584,-1
"(דף ס""ט) ושנינו בפ''ב דאהלות דאפי'",1,123,-1
"משנה פ''ק דכלים (מ""ד) חמור",3,198,0
בסמוך לחד לישנא אצל,13,702,-1
כסף משנה טומאת,2,145,0
מטפח ולמעלה טמא,12,548,-1
טמא אא''כ צירף ידו או אפשר דנגיעה,10,508,-1
משום דכשטומאה בבית הוי,12,563,-1
משנה טומאת אהל אינה בשאר טומאות,2,167,0
שמלשון המשנה משמע דבנגיעה בעלמא טמא,10,451,0
רבינו וטומאת משא בפרק כ''ג,1,92,-1
לאו דוקא ואינו טמא אא''כ,10,426,-1
דאהלות דאפי' עצם כשעורה מטמא במשא:,1,127,-1
חזר בו ור''ש כתב,13,710,-1
אא''כ צירף ידו,10,347,-1
או אפשר דנגיעה היינו,10,392,-1
א''א מצאתי בתוספתא,14,830,-1
"ונזיר (דף נ""ו ע""ב) במשנה ובפרק תינוקת",1,134,0
יהיב טעמא למה אם,10,401,-1
ואינו טמא אא''כ,10,345,-1
פ''ג דאהלות (משנה א'):,5,244,0
חמור מכולם המת,3,179,-1
היינו צירף ידו שכתב רבינו,10,436,-1
בשמו בסמוך לחד לישנא אצל צירף,13,772,-1
מדברי רבינו שם,12,531,-1
הנוגע באסקופה מטפח ולמעלה טמא כנוגע,12,627,-1
ואפשר דמשמע לרבינו,10,338,-1
ובפרק תינוקת (דף,1,61,-1
שנותנת טעם למה מטפח ולמטה טהור מטפח,15,878,-1
סביביו הילכך הנוגע באסקופה מטפח,12,599,-1
משא בפרק כ''ג ונזיר (דף,1,94,-1
טמא כנוגע בכותל מכותלי הבית,12,605,-1
לחד לישנא אצל צירף,13,703,-1
טמא ואין צורך,10,333,-1
הנוגע באסקופה מטפח,12,546,-1
דנגיעה לאו דוקא,10,342,-1
במשנה וכר' יהושע ונראה,12,555,0
טעמא למה אם נגע טמא,10,443,-1
סתום ומטמא כל סביביו הילכך הנוגע באסקופה,12,647,-1
מטמא באהל מה,3,183,-1
משנה המת מטמא במגע,0,13,0
ובמשא ובאהל טומאת שבעה,0,17,-1
לצירוף יד ואפשר דמשמע לרבינו דלישנא דנגיעה,10,498,-1
טהור כנוגע בקרקע עולם,13,694,-1
"משנה פ''ק דכלים (מ""ד)",3,187,-1
הילכך הנוגע באסקופה מטפח,12,573,-1
ומ''ש ובין שהאהיל,4,225,-1
רבי יהושע מטמא באסקופה מטפח ולמעלה משום,13,819,-1
בשמו בסמוך לחד לישנא,13,701,-1
שמלשון המשנה משמע,10,328,0
"פ''ק דכלים (מ""ד) חמור מכולם",3,199,-1
ואהל מפורשים בתורה,0,11,-1
ולמטה טהור מטפח ולמעלה טמא:,15,865,-1
דוקא ואינו טמא,10,344,-1
וכר' יהושע ונראה מדברי רבינו שם,12,609,-1
דבנגיעה בעלמא טמא ואין צורך,10,414,-1
ושנינו בפ''ב דאהלות דאפי' עצם כשעורה מטמא,1,143,-1
ולמעלה משום דדרך,13,682,-1
"פ''ק דכלים (מ""ד) חמור מכולם המת",3,209,-1
טהור כנוגע בקרקע עולם וזה הפך ממ''ש,13,799,-1
שיצרף ידו שמלשון המשנה משמע,10,409,0
למה הצריך שיצרף,10,324,-1
כתב תוספתא זו מפני שנותנת,15,857,-1
"(דף נ""ו ע""ב) במשנה",1,78,0
משנה המת מטמא,0,1,0
מטפח ולמעלה משום דדרך הטומאה לצאת: כתב,13,823,-1
מטמא במגע ובמשא ובאהל,0,15,-1
שיצרף ידו שמלשון המשנה משמע דבנגיעה בעלמא,10,488,0
מפני שנותנת טעם למה מטפח ולמטה טהור,15,877,-1
אינה בשאר טומאות אלא,2,157,-1
כסף משנה אחד הבא כלו,6,263,0
שכאן חזר בו ור''ש כתב רבי יהושע,13,814,-1
כסף משנה המת מטמא במגע ובמשא ובאהל,0,42,0
דאהלות דאפי' עצם כשעורה מטמא,1,108,-1
משום דדרך הטומאה,13,683,-1
"(דף ס""ט) ושנינו",1,63,-1
טמא ואין צורך לצירוף יד ואפשר דמשמע,10,495,-1
עצם כשעורה מטמא,1,69,-1
לרבינו דלישנא דנגיעה לאו דוקא,10,423,-1
אינה בשאר טומאות אלא במת,2,164,-1
דבנגיעה בעלמא טמא ואין צורך לצירוף יד,10,493,-1
בת''כ: נגע במשקוף וכו',7,295,-1
אפשר דנגיעה היינו צירף ידו שכתב רבינו,10,513,-1
בשאר טומאות אלא במת,2,158,-1
דטעמא משום דכשטומאה בבית,12,562,-1
"(דף נ""ו ע""ב) במשנה ובפרק תינוקת (דף",1,135,0
"(מ""ד) חמור מכולם המת שהוא",3,201,-1
בפ''ב דאהלות דאפי' עצם כשעורה מטמא,1,126,-1
כלו לאהל המת,6,250,-1
ואין צורך לצירוף יד,10,376,-1
דכשטומאה בבית הוי הבית כקבר,12,591,-1
יהיב טעמא למה אם נגע,10,442,-1
מטפח ולמטה טהור,13,655,-1
לישנא אצל צירף ידו,13,704,-1
טעם למה מטפח ולמטה טהור מטפח ולמעלה,15,879,-1
ובאהל טומאת שבעה וטומאת מגע ואהל מפורשים,0,48,-1
איני יודע למה הצריך שיצרף ידו שמלשון,10,484,-1
יודע למה הצריך שיצרף ידו שמלשון המשנה,10,485,0
"ע""ב) במשנה ובפרק תינוקת (דף",1,100,0
ובמשא ובאהל טומאת שבעה וטומאת מגע,0,38,-1
לרבינו דלישנא דנגיעה לאו,10,382,-1
אפשר דנגיעה היינו צירף,10,393,-1
וטומאת משא בפרק כ''ג ונזיר (דף,1,112,-1
לחד לישנא אצל צירף ידו,13,739,-1
הטומאה לצאת: כתב הראב''ד נגע באסקופה מטפח,13,827,-1
דטעמא משום דכשטומאה בבית הוי,12,589,-1
דנגיעה היינו צירף,10,352,-1
היינו צירף ידו שכתב,10,395,-1
וכאילו יהיב טעמא למה אם נגע טמא,10,520,-1
כל סביביו הילכך הנוגע באסקופה,12,598,-1
בפרק כ''ג ונזיר (דף,1,75,-1
דמשמע לרבינו דלישנא דנגיעה לאו דוקא,10,462,-1
דוקא ואינו טמא אא''כ צירף,10,427,-1
הילכך הנוגע באסקופה מטפח ולמעלה טמא,12,626,-1
כסף משנה המת מטמא במגע,0,23,0
משנה טומאת אהל אינה,2,154,0
הפך ממ''ש בשמו בסמוך לחד לישנא אצל,13,804,-1
צירף ידו או אפשר דנגיעה,10,431,-1
סתום ומטמא כל,12,541,-1
רבינו וטומאת משא בפרק,1,72,-1
תוספתא זו מפני שנותנת טעם,15,858,-1
שבעה וטומאת מגע ואהל מפורשים,0,31,-1
"(דף מ""ג) ואיתיה בת''כ: נגע",7,299,-1
לצירוף יד ואפשר דמשמע לרבינו,10,419,-1
לאהל המת או הבא מקצתו וכו',6,275,-1
הצריך שיצרף ידו שמלשון,10,367,-1
כסף משנה המת,0,0,0
משנה המת מטמא במגע ובמשא ובאהל,0,34,0
בקרקע עולם וזה הפך ממ''ש בשמו בסמוך,13,801,-1
נגע טמא וצ''ע,10,363,-1
ג''ז שם במשנה וכר',12,553,0
למה הצריך שיצרף ידו שמלשון,10,407,-1
רבינו שם דטעמא משום דכשטומאה בבית,12,613,-1
ואיתיה בת''כ: נגע,7,286,-1
צורך לצירוף יד ואפשר דמשמע,10,418,-1
כסף משנה אחד,6,246,0
טמא כנוגע בכותל,12,550,-1
שיצרף ידו שמלשון המשנה משמע דבנגיעה,10,449,0
בבית הוי הבית כקבר סתום ומטמא כל,12,643,-1
"ג' מינים (דף מ""ג) ואיתיה בת''כ: נגע",7,308,-1
שהאהיל האדם או,4,227,-1
כקבר סתום ומטמא כל סביביו הילכך,12,621,-1
מפני שנותנת טעם,15,839,-1
בסמוך לחד לישנא אצל צירף ידו,13,773,-1
שם במשנה וכר' יהושע ונראה מדברי,12,607,0
דמשמע לרבינו דלישנא דנגיעה לאו,10,422,-1
מכולם המת שהוא מטמא,3,192,-1
"מינים (דף מ""ג) ואיתיה בת''כ: נגע",7,304,-1
דדרך הטומאה לצאת: כתב,13,721,-1
מטפח ולמטה וכו',13,691,-1
נגע באסקופה מטפח,13,689,-1
בבית הוי הבית כקבר סתום ומטמא,12,618,-1
הבא כלו לאהל המת או,6,266,-1
באהל מה שאין כולם,3,196,-1
בעלמא טמא ואין צורך לצירוף יד ואפשר,10,494,-1
משנה המת מטמא במגע ובמשא ובאהל טומאת,0,43,0
ומטמא כל סביביו,12,542,-1
פ''ג דאהלות (משנה,5,241,0
ידו ואפשר שכאן חזר בו ור''ש,13,778,-1
לחד לישנא אצל צירף ידו ואפשר שכאן,13,808,-1
בשמו בסמוך לחד לישנא אצל,13,737,-1
כתב רבי יהושע מטמא באסקופה מטפח ולמעלה,13,818,-1
רבינו שם דטעמא משום,12,560,-1
הנוגע באסקופה מטפח ולמעלה טמא כנוגע בכותל,12,652,-1
דכשטומאה בבית הוי,12,536,-1
כסף משנה המת מטמא,0,12,0
ידו שמלשון המשנה משמע דבנגיעה,10,410,0
או הבא מקצתו וכו',6,262,-1
כסף משנה טומאת אהל אינה,2,160,0
יד ואפשר דמשמע לרבינו דלישנא דנגיעה,10,460,-1
המת מטמא במגע ובמשא ובאהל טומאת שבעה,0,44,-1
שם דטעמא משום דכשטומאה בבית הוי,12,614,-1
"ונזיר (דף נ""ו",1,56,-1
משנה פי''ב דאהלות נגע במשקוף,8,318,0
יהיב טעמא למה,10,359,-1
בשמו בסמוך לחד לישנא אצל צירף ידו,13,806,-1
כמ''ש רבינו וטומאת משא בפרק כ''ג ונזיר,1,128,-1
צירף ידו או אפשר,10,390,-1
שם במשנה וכר' יהושע ונראה מדברי רבינו,12,632,0
משום דדרך הטומאה לצאת: כתב הראב''ד נגע,13,825,-1
וטומאת משא בפרק,1,52,-1
ידו שכתב רבינו,10,355,-1
טהור מטפח ולמעלה,15,845,-1
דנגיעה היינו צירף ידו שכתב,10,435,-1
כתב הראב''ד נגע באסקופה מטפח ולמטה וכו',13,829,-1
כנוגע בקרקע עולם,13,658,-1
ור''ש כתב רבי יהושע מטמא,13,748,-1
אפשר דנגיעה היינו צירף ידו שכתב,10,474,-1
טמא אא''כ צירף ידו או,10,429,-1
כלו לאהל המת או,6,259,-1
ומ''ש ובין שהאהיל האדם או הכלי,4,237,-1
טומאת אהל אינה בשאר טומאות אלא במת,2,173,-1
כנוגע בקרקע עולם וזה,13,695,-1
ואינו טמא אא''כ צירף ידו או אפשר,10,507,-1
יהושע ונראה מדברי רבינו שם דטעמא משום,12,635,-1
באסקופה מטפח ולמעלה טמא כנוגע,12,602,-1
לצירוף יד ואפשר,10,336,-1
צירף ידו שכתב רבינו וכאילו יהיב,10,477,-1
ור''ש כתב רבי,13,675,-1
"מ""ג) ואיתיה בת''כ:",7,285,-1
בשמו בסמוך לחד,13,664,-1
"ובפרק תינוקת (דף ס""ט) ושנינו בפ''ב דאהלות",1,139,-1
נגע באסקופה מטפח ולמטה,13,726,-1
דדרך הטומאה לצאת: כתב הראב''ד,13,757,-1
לצאת: כתב הראב''ד נגע באסקופה מטפח ולמטה,13,828,-1
שמלשון המשנה משמע דבנגיעה בעלמא טמא ואין,10,490,0
משנה פ''ק דכלים,3,175,0
דאהלות דאפי' עצם,1,67,-1
רבינו וכאילו יהיב טעמא למה,10,440,-1
במגע ובמשא ובאהל,0,4,-1
"ונזיר (דף נ""ו ע""ב) במשנה ובפרק",1,116,0
וזה הפך ממ''ש בשמו בסמוך לחד לישנא,13,803,-1
הטומאה לצאת: כתב הראב''ד,13,722,-1
אא''כ צירף ידו או,10,389,-1
למה מטפח ולמטה טהור מטפח ולמעלה,15,872,-1
שם דטעמא משום,12,533,-1
שהאהיל האדם או הכלי וכו',4,236,-1
שנותנת טעם למה מטפח ולמטה טהור,15,870,-1
"מ""ג) ואיתיה בת''כ: נגע במשקוף וכו'",7,306,-1
רבינו וכאילו יהיב,10,357,-1
רבינו שם דטעמא משום דכשטומאה בבית הוי,12,638,-1
צירף ידו ואפשר שכאן חזר,13,742,-1
במגע ובמשא ובאהל טומאת שבעה,0,27,-1
"(דף ס""ט) ושנינו בפ''ב",1,84,-1
כמ''ש רבינו וטומאת משא,1,71,-1
רבינו שם דטעמא,12,532,-1
עולם וזה הפך ממ''ש בשמו בסמוך,13,768,-1
למה הצריך שיצרף ידו,10,366,-1
מטפח ולמטה טהור כנוגע בקרקע עולם וזה,13,797,-1
יהושע ונראה מדברי רבינו,12,557,-1
דאהלות (משנה א'):,5,242,0
למה מטפח ולמטה טהור,15,853,-1
ולמעלה טמא כנוגע בכותל מכותלי הבית,12,630,-1
כל סביביו הילכך,12,543,-1
וכר' יהושע ונראה מדברי,12,556,-1
סביביו הילכך הנוגע,12,544,-1
בפ''ב דאהלות דאפי' עצם כשעורה,1,107,-1
"ע""ב) במשנה ובפרק תינוקת (דף ס""ט)",1,119,-1
אהל אינה בשאר,2,148,-1
ידו ואפשר שכאן חזר,13,707,-1
במגע ובמשא ובאהל טומאת,0,16,-1
ובין שהאהיל האדם או הכלי וכו',4,238,-1
צירף ידו ואפשר שכאן,13,706,-1
בו ור''ש כתב רבי,13,711,-1
יהושע ונראה מדברי רבינו שם דטעמא,12,610,-1
ואין צורך לצירוף יד ואפשר דמשמע לרבינו,10,496,-1
הוי הבית כקבר סתום ומטמא כל סביביו,12,644,-1
כתב תוספתא זו מפני,15,847,-1
מטפח ולמטה טהור כנוגע בקרקע,13,728,-1
"כ''ג ונזיר (דף נ""ו ע""ב) במשנה",1,115,0
ואפשר דמשמע לרבינו דלישנא,10,380,-1
טהור כנוגע בקרקע עולם וזה הפך,13,765,-1
מכולם המת שהוא מטמא באהל,3,203,-1
דאהלות נגע במשקוף,8,313,-1
טעם למה מטפח,15,841,-1
וזה הפך ממ''ש בשמו,13,698,-1
מטפח ולמטה טהור מטפח ולמעלה,15,864,-1
המשנה משמע דבנגיעה בעלמא טמא ואין,10,452,0
וטומאת מגע ואהל,0,9,-1
כשעורה מטמא במשא:,1,70,-1
בקרקע עולם וזה הפך ממ''ש בשמו,13,767,-1
המת מטמא במגע,0,2,-1
"בפ' ג' מינים (דף מ""ג)",7,296,1
"ע""ב) במשנה ובפרק תינוקת",1,80,0
בו ור''ש כתב רבי יהושע,13,747,-1
או אפשר דנגיעה,10,350,-1
איני יודע למה הצריך,10,364,-1
הבית כקבר סתום ומטמא,12,567,-1
"ס""ט) ושנינו בפ''ב דאהלות",1,85,-1
"בפרק כ''ג ונזיר (דף נ""ו",1,95,-1
לצאת: כתב הראב''ד,13,686,-1
ואפשר שכאן חזר בו ור''ש כתב,13,779,-1
עולם וזה הפך ממ''ש בשמו,13,733,-1
במגע ובמשא ובאהל טומאת שבעה וטומאת,0,37,-1
"ובפרק תינוקת (דף ס""ט) ושנינו בפ''ב",1,121,-1
רבינו וטומאת משא בפרק כ''ג ונזיר,1,111,-1
המת מטמא במגע ובמשא ובאהל,0,25,-1
דנגיעה לאו דוקא ואינו טמא אא''כ,10,465,-1
יהיב טעמא למה אם נגע טמא,10,482,-1
טהור כנוגע בקרקע עולם וזה,13,730,-1
מטפח ולמטה טהור כנוגע,13,692,-1
ידו שמלשון המשנה,10,327,0
טהור כנוגע בקרקע,13,657,-1
פי''ב דאהלות נגע במשקוף,8,316,-1
באהל מה שאין,3,184,-1
הראב''ד נגע באסקופה,13,688,-1
יודע למה הצריך שיצרף ידו,10,406,-1
ואין צורך לצירוף יד ואפשר,10,417,-1
ידו שכתב רבינו וכאילו,10,397,-1
הצריך שיצרף ידו שמלשון המשנה,10,408,0
צירף ידו ואפשר שכאן חזר בו ור''ש,13,811,-1
"נ""ו ע""ב) במשנה ובפרק תינוקת",1,99,0
למה אם נגע טמא,10,403,-1
לאו דוקא ואינו טמא אא''כ צירף,10,466,-1
זו מפני שנותנת טעם למה מטפח ולמטה,15,876,-1
וזה הפך ממ''ש בשמו בסמוך,13,734,-1
מטמא במגע ובמשא ובאהל טומאת שבעה וטומאת,0,45,-1
משנה אחד הבא כלו לאהל המת,6,271,0
ואינו טמא אא''כ צירף,10,387,-1
חזר בו ור''ש כתב רבי יהושע,13,781,-1
לאהל המת או הבא,6,260,-1
בו ור''ש כתב רבי יהושע מטמא,13,782,-1
היינו צירף ידו שכתב רבינו וכאילו יהיב,10,515,-1
בבית הוי הבית,12,537,-1
דאהלות דאפי' עצם כשעורה,1,88,-1
הפך ממ''ש בשמו בסמוך,13,699,-1
ולמעלה משום דדרך הטומאה,13,719,-1
מדברי רבינו שם דטעמא,12,559,-1
כתב רבי יהושע,13,676,-1
ג' מינים (דף,7,282,-1
הילכך הנוגע באסקופה מטפח ולמעלה,12,600,-1
הבית כקבר סתום ומטמא כל סביביו,12,620,-1
ושנינו בפ''ב דאהלות,1,65,-1
ובמשא ובאהל טומאת שבעה וטומאת מגע ואהל,0,47,-1
יהיב טעמא למה אם נגע טמא וצ''ע,10,521,-1
כתב רבי יהושע מטמא באסקופה,13,749,-1
רבי יהושע מטמא באסקופה מטפח ולמעלה,13,785,-1
ומ''ש וצירף ידו,9,321,-1
למה מטפח ולמטה,15,842,-1
כקבר סתום ומטמא כל,12,568,-1
טומאת שבעה וטומאת מגע ואהל מפורשים בתורה,0,49,-1
"(דף נ""ו ע""ב) במשנה ובפרק",1,98,0
דאפי' עצם כשעורה מטמא במשא:,1,109,-1
אצל צירף ידו ואפשר,13,705,-1
בפ''ב דאהלות דאפי' עצם כשעורה מטמא במשא:,1,144,-1
במגע ובמשא ובאהל טומאת שבעה וטומאת מגע,0,46,-1
אא''כ צירף ידו או אפשר דנגיעה היינו,10,509,-1
לאהל המת או הבא מקצתו,6,268,-1
לצאת: כתב הראב''ד נגע באסקופה מטפח,13,794,-1
אינה בשאר טומאות,2,149,-1
המת או הבא מקצתו וכו',6,269,-1
שהוא מטמא באהל מה שאין כולם,3,215,-1
משנה טומאת אהל אינה בשאר טומאות אלא,2,172,0
טומאות אלא במת,2,151,-1
כלו לאהל המת או הבא,6,267,-1
ובין שהאהיל האדם או הכלי,4,235,-1
ונראה מדברי רבינו,12,530,-1
מפני שנותנת טעם למה,15,850,-1
ובמשא ובאהל טומאת,0,5,-1
וכאילו יהיב טעמא למה אם,10,441,-1
מטפח ולמטה טהור,15,843,-1
שם דטעמא משום דכשטומאה בבית,12,588,-1
דנגיעה לאו דוקא ואינו טמא אא''כ צירף,10,504,-1
"בפ' ג' מינים (דף מ""ג) ואיתיה בת''כ:",7,307,-1
"פ''ק דכלים (מ""ד) חמור",3,188,-1
המשנה משמע דבנגיעה בעלמא טמא,10,412,0
שכאן חזר בו ור''ש,13,709,-1
א''א מצאתי בתוספתא דאהלות,14,833,-1
"וטומאת משא בפרק כ''ג ונזיר (דף נ""ו",1,130,-1
ולמעלה משום דדרך הטומאה לצאת:,13,755,-1
המת או הבא מקצתו,6,261,-1
או הכלי וכו',4,229,-1
ואפשר דמשמע לרבינו דלישנא דנגיעה לאו דוקא,10,500,-1
שהוא מטמא באהל מה שאין כולם מטמאין,3,224,-1
ידו או אפשר,10,349,-1
מטפח ולמטה טהור כנוגע בקרקע עולם,13,763,-1
בעלמא טמא ואין צורך לצירוף יד,10,455,-1
כסף משנה אחד הבא כלו לאהל המת,6,276,0
"נ""ו ע""ב) במשנה ובפרק תינוקת (דף ס""ט)",1,136,-1
דנגיעה היינו צירף ידו שכתב רבינו וכאילו,10,514,-1
דנגיעה לאו דוקא ואינו טמא,10,425,-1
"כ''ג ונזיר (דף נ""ו ע""ב) במשנה ובפרק",1,133,0
טומאת שבעה וטומאת מגע ואהל,0,30,-1
דדרך הטומאה לצאת:,13,684,-1
משנה אחד הבא,6,247,0
באסקופה מטפח ולמעלה טמא כנוגע בכותל מכותלי,12,653,-1
הבא מקצתו וכו',6,254,-1
וטומאת משא בפרק כ''ג ונזיר,1,93,-1
משום דדרך הטומאה לצאת: כתב הראב''ד,13,791,-1
דלישנא דנגיעה לאו,10,341,-1
באסקופה מטפח ולמעלה טמא כנוגע בכותל,12,628,-1
"ע""ב) במשנה ובפרק",1,59,0
ובין שהאהיל האדם,4,226,-1
לאו דוקא ואינו טמא אא''כ צירף ידו,10,505,-1
"(דף מ""ג) ואיתיה בת''כ: נגע במשקוף וכו'",7,310,-1
"במשנה ובפרק תינוקת (דף ס""ט) ושנינו בפ''ב",1,138,0
ולמטה טהור כנוגע בקרקע עולם וזה,13,764,-1
מטפח ולמטה טהור מטפח ולמעלה טמא:,15,873,-1
צירף ידו שכתב רבינו,10,396,-1
ומ''ש נגע באסקופה וכו',11,524,-1
יד ואפשר דמשמע לרבינו,10,379,-1
"משנה פ''ק דכלים (מ""ד) חמור מכולם המת",3,217,0
ואיתיה בת''כ: נגע במשקוף וכו',7,301,-1
המת שהוא מטמא באהל מה שאין כולם,3,223,-1
ובאהל טומאת שבעה וטומאת מגע,0,29,-1
המת שהוא מטמא באהל,3,193,-1
דדרך הטומאה לצאת: כתב הראב''ד נגע באסקופה,13,826,-1
ואינו טמא אא''כ צירף ידו,10,428,-1
